id,created_at,favorite_count,retweet_count,has alt_text?,alt_text,text
1591308511056891906,2022-11-12 05:54:48+00:00,0,5,no,None,RT @BauerKahan: I'm incredibly proud that our caucus came together unanimously to vote for Speaker designee @AsmRobertRivas. Rob is a man o…
1591284745262231557,2022-11-12 04:20:22+00:00,0,3,no,,"RT @AsmCottie: I could not be more proud of our next Speaker, @RobertRivas_CA. Excited for the work ahead! #CALeg https://t.co/WHMa6zhOS6"
1591203517293027328,2022-11-11 22:57:36+00:00,0,1,no,None,"RT @DanteMGolden: Congrats @AsmRobertRivas on becoming the next Speaker of the Assembly. You’re a true pro-housing champion. 

I’m excited…"
1591170470875131904,2022-11-11 20:46:17+00:00,0,3,no,,RT @JimmyPanetta: Congratulations Assemblymember Robert Rivas - I look forward to continuing to work together! https://t.co/FHsBjfI85t
1591170124350119936,2022-11-11 20:44:54+00:00,0,10,no,None,"RT @MattHaneySF: Proud day for our state!  A unanimous vote for the next Speaker @AsmRobertRivas. Rob grew up in farm worker housing, he wi…"
1591165952355631105,2022-11-11 20:28:20+00:00,0,21,no,None,RT @BuffyWicks: Very proud to stand in strong support of ⁦@AsmRobertRivas⁩ as the next Speaker of the Assembly. Rob is a man of unmatched i…
1591159941112692736,2022-11-11 20:04:26+00:00,0,8,no,,"RT @quirk_silva: Congratulations to Speaker Designee, #Assemblymember #RobertRivas @RobertRivas_CA https://t.co/VfgO3HbvrS"
1591159308880076801,2022-11-11 20:01:56+00:00,0,5,no,,RT @Nordo: Our region will be well served by having @AsmRobertRivas leading the California Assembly. https://t.co/jj0h10b09N
1590903225590611971,2022-11-11 03:04:21+00:00,444,84,no,,"Today, the Assembly Democratic Caucus voted unanimously to elect Assemblymember Robert Rivas as the 71st Speaker of the California State Assembly. 

See our statement below. ⤵️ https://t.co/eOVUm5zB7x"
1589692758096506880,2022-11-07 18:54:23+00:00,0,72,no,None,"RT @CASOSVote: If you have your vote-by-mail ballot, you can return it by mail, at an official drop box, or polling location. #MoreWaysMore…"
